epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1797.09,1.26364,1.29202,1.57699,0.81682,0.69971,0.75886,0.45027,1.52389,1.09967,1.9822,0.007162,0.007162,0.007162
45,1840.55,1.26024,1.29669,1.57781,0.84102,0.69733,0.76507,0.4491,1.5196,1.06265,1.97927,0.007096,0.007096,0.007096
46,1884,1.26144,1.26993,1.57382,0.82979,0.70464,0.7573,0.45071,1.51727,1.07549,1.97691,0.00703,0.00703,0.00703
47,1927.95,1.24812,1.24886,1.56328,0.84785,0.70013,0.77107,0.45353,1.50787,1.0657,1.97193,0.006964,0.006964,0.006964
48,1971.55,1.25742,1.26793,1.56605,0.8133,0.72205,0.76205,0.44996,1.51966,1.06698,1.97451,0.006898,0.006898,0.006898
49,2014.84,1.24684,1.2582,1.56434,0.83134,0.7241,0.77465,0.4588,1.51091,1.05931,1.97082,0.006832,0.006832,0.006832
50,2058.06,1.24691,1.24936,1.56144,0.8639,0.70291,0.77257,0.46373,1.50577,1.04791,1.96088,0.006766,0.006766,0.006766
51,2097.45,1.2389,1.23284,1.55612,0.84173,0.71325,0.7734,0.4628,1.49632,1.04864,1.95795,0.0067,0.0067,0.0067
52,2134.64,1.24604,1.2332,1.5553,0.83947,0.7109,0.77472,0.46244,1.49129,1.0486,1.95531,0.006634,0.006634,0.006634
53,2171.23,1.23858,1.21825,1.55472,0.85025,0.71139,0.77517,0.46158,1.50972,1.0424,1.96685,0.006568,0.006568,0.006568
54,2208.43,1.23396,1.22673,1.54564,0.8424,0.71908,0.77524,0.4612,1.51597,1.05206,1.97099,0.006502,0.006502,0.006502
55,2250.5,1.22262,1.19361,1.53839,0.84158,0.70995,0.77372,0.45864,1.51669,1.05218,1.97627,0.006436,0.006436,0.006436
56,2295.08,1.2143,1.19618,1.54152,0.83605,0.71851,0.76893,0.45801,1.51574,1.06368,1.9775,0.00637,0.00637,0.00637
57,2338.94,1.21869,1.18706,1.53774,0.82696,0.71885,0.76583,0.45611,1.52042,1.07258,1.98189,0.006304,0.006304,0.006304
58,2383.17,1.21855,1.18938,1.53902,0.836,0.70771,0.77139,0.46044,1.51398,1.05669,1.97454,0.006238,0.006238,0.006238
59,2427.66,1.20607,1.18313,1.53128,0.85932,0.70708,0.77213,0.46245,1.50884,1.05156,1.97119,0.006172,0.006172,0.006172
60,2469.87,1.2037,1.17898,1.52935,0.84706,0.72161,0.77492,0.4651,1.51204,1.06802,1.9767,0.006106,0.006106,0.006106
61,2508.31,1.20612,1.15003,1.52569,0.84046,0.72124,0.76979,0.46169,1.51906,1.06126,1.98235,0.00604,0.00604,0.00604
62,2546.44,1.20301,1.15021,1.52381,0.85273,0.71081,0.76878,0.45766,1.51776,1.05274,1.97848,0.005974,0.005974,0.005974
63,2583.68,1.20112,1.15451,1.52716,0.83436,0.71781,0.76694,0.46267,1.51519,1.04889,1.97859,0.005908,0.005908,0.005908
64,2625.2,1.19739,1.13592,1.5206,0.83855,0.72082,0.77173,0.46278,1.51299,1.05167,1.97493,0.005842,0.005842,0.005842
65,2666.58,1.19461,1.14035,1.52017,0.83233,0.71997,0.76913,0.46456,1.51404,1.05585,1.97675,0.005776,0.005776,0.005776
66,2710.75,1.18361,1.12314,1.50977,0.85737,0.70698,0.77172,0.46217,1.51831,1.05517,1.98219,0.00571,0.00571,0.00571
67,2755.26,1.18516,1.12019,1.50545,0.84904,0.71595,0.77438,0.4617,1.51975,1.05938,1.98866,0.005644,0.005644,0.005644
68,2798.78,1.16938,1.11137,1.49942,0.84794,0.71302,0.77214,0.45994,1.52103,1.06156,1.98986,0.005578,0.005578,0.005578
69,2841.8,1.17237,1.09579,1.49985,0.85453,0.70859,0.77114,0.45722,1.52062,1.05778,1.9881,0.005512,0.005512,0.005512
70,2886.23,1.17357,1.10225,1.49721,0.81906,0.73227,0.77068,0.45881,1.51753,1.05294,1.98377,0.005446,0.005446,0.005446
71,2930.42,1.16885,1.09833,1.4938,0.83461,0.71964,0.76791,0.45815,1.51863,1.05341,1.98705,0.00538,0.00538,0.00538
72,2967.73,1.16472,1.08792,1.48901,0.83433,0.72159,0.7683,0.45521,1.51889,1.05085,1.9882,0.005314,0.005314,0.005314
73,3005.05,1.15362,1.07932,1.48729,0.83613,0.72852,0.77116,0.45918,1.52243,1.04431,1.99232,0.005248,0.005248,0.005248
74,3042.25,1.1621,1.08341,1.48855,0.85157,0.7202,0.77085,0.4591,1.52,1.04144,1.99118,0.005182,0.005182,0.005182
75,3079.09,1.15948,1.07983,1.4903,0.85223,0.72485,0.77344,0.46026,1.51862,1.04169,1.99307,0.005116,0.005116,0.005116
76,3116.66,1.15399,1.06075,1.48103,0.84895,0.729,0.77493,0.45989,1.51916,1.03416,1.99596,0.00505,0.00505,0.00505
77,3158.27,1.16179,1.0655,1.48158,0.85415,0.72385,0.77556,0.46239,1.51891,1.03398,1.99576,0.004984,0.004984,0.004984
78,3201.52,1.14035,1.05958,1.4779,0.85578,0.726,0.77464,0.46097,1.51766,1.02848,1.99575,0.004918,0.004918,0.004918
79,3246.42,1.13811,1.05432,1.4777,0.85009,0.72843,0.77334,0.46024,1.52103,1.0294,1.9977,0.004852,0.004852,0.004852
80,3287.12,1.14344,1.05467,1.47829,0.84283,0.7302,0.77662,0.46043,1.52225,1.03036,1.9999,0.004786,0.004786,0.004786
81,3331.73,1.13689,1.03702,1.46851,0.86088,0.71924,0.77592,0.46048,1.52124,1.03239,2.00045,0.00472,0.00472,0.00472
82,3376.95,1.13896,1.03883,1.4693,0.84805,0.72349,0.77548,0.46048,1.52306,1.03337,2.00342,0.004654,0.004654,0.004654
83,3417.42,1.12925,1.02897,1.46479,0.86157,0.71419,0.77513,0.46044,1.52271,1.03573,2.00242,0.004588,0.004588,0.004588
84,3455.32,1.11817,1.02099,1.45649,0.82624,0.73046,0.77437,0.45988,1.52378,1.03763,2.0046,0.004522,0.004522,0.004522
85,3496.26,1.12147,1.02568,1.46125,0.8567,0.7126,0.77197,0.46014,1.52259,1.03802,2.00409,0.004456,0.004456,0.004456
86,3538.85,1.11356,1.0101,1.45178,0.85501,0.71339,0.77403,0.46008,1.52255,1.03889,2.00592,0.00439,0.00439,0.00439
87,3583.29,1.11638,1.01725,1.4533,0.85784,0.71113,0.77147,0.45958,1.52235,1.03958,2.00773,0.004324,0.004324,0.004324
88,3628.3,1.1083,1.0061,1.45283,0.85547,0.70897,0.76961,0.45894,1.52133,1.04138,2.00733,0.004258,0.004258,0.004258
89,3672.52,1.11178,0.99817,1.44677,0.85254,0.71092,0.76877,0.45853,1.52119,1.04154,2.00853,0.004192,0.004192,0.004192
90,3712.56,1.10141,0.98774,1.43946,0.85068,0.71016,0.76836,0.45888,1.51989,1.04265,2.00856,0.004126,0.004126,0.004126
